Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_all,Chrome 76.0.3809.87,,,2019-08-06 02:48:07,2019-08-06 02:49:12,1m - 4.942s,INCOMPLETE
,,,,,,,
Test Cases/TestCase1_ChangePagePortfolioToHome,Chrome 76.0.3809.87,"click Home in page Portfolio
Step 
1.page Portfolio
2.click HOME under menu in page Portfolio
result = page HOME",,2019-08-06 02:48:08,2019-08-06 02:48:24,15.923s,FAILED
"openBrowser("""")",Chrome 76.0.3809.87,,,2019-08-06 02:48:08,2019-08-06 02:48:13,5.100s,PASSED
"navigateToUrl(""https://bda.co.th/portfolio"")",Chrome 76.0.3809.87,,,2019-08-06 02:48:13,2019-08-06 02:48:19,6.055s,PASSED
delay(1),Chrome 76.0.3809.87,,,2019-08-06 02:48:19,2019-08-06 02:48:20,1.037s,PASSED
"click(findTestObject(""TC1_ChangPagePortfolioToHome/a_Home""))",Chrome 76.0.3809.87,,,2019-08-06 02:48:20,2019-08-06 02:48:20,0.331s,PASSED
delay(1),Chrome 76.0.3809.87,,,2019-08-06 02:48:20,2019-08-06 02:48:21,1.002s,PASSED
urlget = getUrl(),Chrome 76.0.3809.87,,,2019-08-06 02:48:21,2019-08-06 02:48:21,0.018s,PASSED
"urltest = ""https://bda.co.th/""",Chrome 76.0.3809.87,,,2019-08-06 02:48:21,2019-08-06 02:48:21,0.001s,PASSED
delay(1),Chrome 76.0.3809.87,,,2019-08-06 02:48:21,2019-08-06 02:48:22,1.002s,PASSED
if (urlget.equals(urltest)),Chrome 76.0.3809.87,,,2019-08-06 02:48:22,2019-08-06 02:48:22,0.001s,PASSED
else,Chrome 76.0.3809.87,,,2019-08-06 02:48:22,2019-08-06 02:48:22,0.035s,PASSED
delay(1),Chrome 76.0.3809.87,,,2019-08-06 02:48:22,2019-08-06 02:48:23,1.002s,PASSED
"verifyMatch(urlget, ""https://bda.co.th/"", false)",Chrome 76.0.3809.87,,,2019-08-06 02:48:23,2019-08-06 02:48:23,0.023s,FAILED
,,,,,,,
Test Cases/TestCase2_HomeGotoPageportfolio,Chrome 76.0.3809.87,"click portfolio in page home
Step
1.click PORTFOLIO menu in page HOME

result = page portfolio",,2019-08-06 02:48:24,2019-08-06 02:48:50,26.581s,PASSED
"openBrowser("""")",Chrome 76.0.3809.87,,,2019-08-06 02:48:24,2019-08-06 02:48:31,7.077s,PASSED
"navigateToUrl(""https://bda.co.th/"")",Chrome 76.0.3809.87,,,2019-08-06 02:48:31,2019-08-06 02:48:44,13.275s,PASSED
delay(1),Chrome 76.0.3809.87,,,2019-08-06 02:48:44,2019-08-06 02:48:45,1.003s,PASSED
"click(findTestObject(""Object Repository/TC2_HomeGotoPagePortfolio/a_Portfolio""))",Chrome 76.0.3809.87,,,2019-08-06 02:48:45,2019-08-06 02:48:47,1.940s,PASSED
delay(1),Chrome 76.0.3809.87,,,2019-08-06 02:48:47,2019-08-06 02:48:48,1.002s,PASSED
geturl = getUrl(),Chrome 76.0.3809.87,,,2019-08-06 02:48:48,2019-08-06 02:48:48,0.008s,PASSED
"urltest = ""https://bda.co.th/portfolio""",Chrome 76.0.3809.87,,,2019-08-06 02:48:48,2019-08-06 02:48:48,0.000s,PASSED
delay(1),Chrome 76.0.3809.87,,,2019-08-06 02:48:48,2019-08-06 02:48:49,1.003s,PASSED
if (geturl.equals(urltest)),Chrome 76.0.3809.87,,,2019-08-06 02:48:49,2019-08-06 02:48:49,0.007s,PASSED
delay(1),Chrome 76.0.3809.87,,,2019-08-06 02:48:49,2019-08-06 02:48:50,1.002s,PASSED
"verifyMatch(geturl, ""https://bda.co.th/portfolio"", false)",Chrome 76.0.3809.87,,,2019-08-06 02:48:50,2019-08-06 02:48:50,0.002s,PASSED
,,,,,,,
Test Cases/TestCase3_ClickLogoFacebook,Chrome 76.0.3809.87,"click logo facebook

result = go to facebook page big data agency",,2019-08-06 02:48:50,2019-08-06 02:49:12,22.153s,PASSED
"openBrowser("""")",Chrome 76.0.3809.87,,,2019-08-06 02:48:50,2019-08-06 02:48:54,3.559s,PASSED
"navigateToUrl(""https://bda.co.th/"")",Chrome 76.0.3809.87,,,2019-08-06 02:48:54,2019-08-06 02:48:59,5.265s,PASSED
delay(1),Chrome 76.0.3809.87,,,2019-08-06 02:48:59,2019-08-06 02:49:00,1.003s,PASSED
"click(findTestObject(""Object Repository/TC3_clickLogoFacebook/i_adminbdacoth_fab fa-facebook fa-2x""))",Chrome 76.0.3809.87,,,2019-08-06 02:49:00,2019-08-06 02:49:00,0.291s,PASSED
delay(1),Chrome 76.0.3809.87,,,2019-08-06 02:49:00,2019-08-06 02:49:01,1.002s,PASSED
"switchToWindowUrl(""https://www.facebook.com/bda.co.th/"")",Chrome 76.0.3809.87,,,2019-08-06 02:49:01,2019-08-06 02:49:03,1.741s,PASSED
delay(1),Chrome 76.0.3809.87,,,2019-08-06 02:49:03,2019-08-06 02:49:04,1.002s,PASSED
urlget = getUrl(),Chrome 76.0.3809.87,,,2019-08-06 02:49:04,2019-08-06 02:49:10,6.011s,PASSED
out.println(urlget),Chrome 76.0.3809.87,,,2019-08-06 02:49:10,2019-08-06 02:49:10,0.011s,PASSED
"urltest = ""https://www.facebook.com/bda.co.th/""",Chrome 76.0.3809.87,,,2019-08-06 02:49:10,2019-08-06 02:49:10,0.001s,PASSED
delay(1),Chrome 76.0.3809.87,,,2019-08-06 02:49:10,2019-08-06 02:49:11,1.001s,PASSED
if (urlget.equals(urltest)),Chrome 76.0.3809.87,,,2019-08-06 02:49:11,2019-08-06 02:49:11,0.002s,PASSED
delay(1),Chrome 76.0.3809.87,,,2019-08-06 02:49:11,2019-08-06 02:49:12,1.002s,PASSED
"verifyMatch(urlget, ""https://www.facebook.com/bda.co.th/"", false)",Chrome 76.0.3809.87,,,2019-08-06 02:49:12,2019-08-06 02:49:12,0.002s,PASSED
